position,bestmove
1r1q1rk1/1bp1npp1/p2p4/3PnP1P/2pN2p1/2N5/PP1Q2B1/2KR3R w - - 1 18,"['f5f6']"
r3r3/2p1qkp1/pb3p2/3P1n2/2Q2P1p/1PN2R2/P2P2PP/B1R4K b - - 3 20,"['e7e1']"
r1bq1rk1/4bpp1/2p1pn1p/p7/2PP3Q/P2B1N2/5PPP/R1B1K2R w KQ - 0 15,"['c1h6',]"
1rq4r/1p2bpk1/2p1p3/pP1pP1Pp/P2P1P1n/2PNB3/4Q2K/R5R1 w - - 0 36,"['f4f5',]"
r2q1rk1/1b1n1ppp/p1n1p3/3pPP2/1bpP4/2N1BN2/1PP1B1PP/1K1RQ2R w - - 0 16,"['f5f6',]"
r3kb1r/1b1n1ppp/p3pn2/1pq3B1/8/1BN2N2/PPP1QPPP/2KR3R w kq - 0 12,"['b3e6',]"
1rbq3r/2n1pp1k/3p3p/B1pP3p/2p1PN1N/6R1/1b3PP1/2Q1K2R w K - 0 22,"['f4e6']"
r5k1/3b1p2/6p1/3P2qp/2NbPp2/3R1Q1P/5PP1/5BK1 b - - 9 36,"['d7g4']"
r3kb1Q/pb1q1p2/1pn1pPp1/2ppP3/3P4/6N1/PPPBBK2/R7 w q - 3 22,"['h8f8']"
1rbq3r/2n1pp1k/3p3p/B1pP3N/2p1P2N/R7/1b3PP1/2Q1K2R w K - 0 22,"['c1h6']"
k2rr3/pp1Rb2q/1np2pp1/2p4p/4PB2/1Q2NP2/PP4PP/1K1R4 w - - 2 33,"['e3c4']"
1r1r2k1/1p3pp1/p4q1p/5b2/1P1RB3/P3PP2/6PP/2RQ2K1 w - - 1 26,"['d4d8']"
2q2rk1/2p2pp1/r1n4p/7R/2P1Q3/4B1P1/4PP1P/5RK1 w - - 0 22,"['e3h6']"
r1bq1r1k/1p2p1bp/2p2np1/p3p2P/P2PB3/1Q4R1/1P2NPP1/2B1R1K1 w - - 3 19,"['e4g6']"
r4rk1/p1q1bppp/3p1p2/2pP3Q/p1B1PP2/2B5/1Pn3PP/R4RK1 w - - 0 18, "['f1f3']"
r1b1r1k1/1p1np1bp/p2p2p1/3P4/Pqp1P3/2N2Q2/1PPB1P2/2KR2NR w - - 0 17, "['h1h7']"
r1bq1rk1/p2pp1bp/1p1P4/2p3Pp/3nN3/8/PPP2P1P/R1BQKBR1 w Q - 2 13, "['d1h5']"
3q1rk1/1ppb2b1/2np2P1/r3p1N1/p2P1P2/P1PB2P1/1P1Q4/R3K2R w KQ - 1 19, "['h1h8']"
rn2k2r/p1qbppbp/6p1/1BpPp1B1/PpN1n3/5N2/1PP2PPP/R2Q1RK1 w kq - 2 13, "['g5e7']"
r1bqk2r/pp1ppn1p/2p2p1b/7Q/4N3/7N/PPP3PP/1K1R1B1R w kq - 4 14, "['d1d6']"
